type,description
Psychic,"['Psychic', 'Colorless', 'Colorless'],Psyshot,'',40"
Water,"['Water', 'Colorless'],Water Splash,'Flip a coin. If heads, this attack does 20 more damage.',10+"
Water,"['Colorless', 'Colorless'],Round,'Does 30 damage times the number of your Pok\u00e9mon that have the Round attack.',30\u00d7"
Water,"['Water', 'Water', 'Colorless'],Hyper Voice,'',70"
Grass,"['Colorless'],Bug Bite,'',10"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Rock Tumble,'Don't apply Resistance.',60"
Water,"['Colorless', 'Colorless'],Tight Jaw,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Water,"['Fire', 'Water', 'Colorless'],Dragon Tail,'Flip 2 coins. This attack does 80 damage times the number of heads.',80\u00d7"
Water,"['Water'],Bubble,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Water,"['Water', 'Water', 'Colorless'],Giant Claw,'Flip a coin. If tails, this attack does nothing.',"
Water,"['Colorless', 'Colorless'],Outrage,'Does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Water,"['Water', 'Water', 'Colorless'],Glaciate,'This attack does 30 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Grass,"['Colorless'],Bind,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Fire,"['Fire', 'Colorless'],Flare,'',20"
Grass,"['Colorless'],Sleep Powder,'The Defending Pok\u00e9mon is now Asleep.',"
Grass,"['Grass'],Razor Leaf,'',10"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Iron Fist,'Count the number of Pok\u00e9mon you have in play with damage counters on them. Flip a coin. If heads, this attack does 50 damage plus 10 more damage for each of those Pok\u00e9mon.',50+"
Grass,"['Grass'],Horn Hazard,'Flip a coin. If tails, this attack does nothing.',"
Fighting,"['Fighting'],Poison Needle,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',10"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Poisonpowder,'The Defending Pok\u00e9mon is now Poisoned.',40"
Colorless,"['Colorless'],Pound,'',10"
Colorless,"['Colorless', 'Colorless'],Lullaby,'The Defending Pok\u00e9mon is now Asleep.',10"
Fire,"['Fire', 'Colorless'],Mislead,'Flip 2 coins. If either of them is heads, the Defending Pok\u00e9mon is now Confused.',"
Fire,"['Colorless', 'Colorless', 'Colorless'],Ethereal Flame,'Discard all R Energy cards attached to Ninetales. This attack does 30 damage plus 10 more damage for each cards discarded this way.',30+"
Water,"['Colorless', 'Colorless', 'Colorless'],Secret Sword,'Does 20 more damage for each Water Energy attached to this Pok\u00e9mon.',50+"
Lightning,"['Lightning'],Thundershock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Lightning,"['Colorless', 'Colorless'],Tail Whap,'',20"
Lightning,"['Lightning'],Energy Patch,'Take an Energy card attached to one of your Pok\u00e9mon and attach it to another of your Pok\u00e9mon.',"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Random Spark,'This attack does 50 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Lightning', 'Colorless', 'Colorless', 'Colorless'],Thundering Hurricane,'Flip 4 coins. This attack does 50 damage times the number of heads.',50\u00d7"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Sharp Beak,'Flip a coin. If heads, this attack does 20 damage plus 30 more damage.',20+"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Random Spark,'This attack does 50 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Lightning', 'Colorless', 'Colorless', 'Colorless'],Thundering Hurricane,'Flip 4 coins. This attack does 50 damage times the number of heads.',50\u00d7"
Psychic,"['Psychic'],Telekinesis,'This attack does 30 damage to 1 of your opponent's Pok\u00e9mon. This attack's damage isn't affected by Weakness or Resistance.',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Dream Waltz,'This attack can be used even if this Pok\u00e9mon is Asleep. If this Pok\u00e9mon is Asleep, this attack does 30 more damage.',60+"
Colorless,"['Colorless'],Attract Smack,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Fire,"['Colorless'],Quick Attack,'Flip a coin. If heads, this attack does 10 damage plus 20 more damage.',10+"
Fire,"['Fire', 'Fire', 'Colorless'],Thermal Blast,'Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pok\u00e9mon, if any. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.',40"
Grass,"['Colorless'],Alert,'Draw a card. Then, switch Brock's Zubat with 1 of your Benched Pok\u00e9mon. You can't use this attack if your Bench is empty.',"
Grass,"['Colorless', 'Colorless'],Wing Attack,'',20"
Lightning,"['Colorless'],Tag Draw,'Shuffle your hand into your deck. Then, draw 4 cards. If Minun is on your Bench, draw 4 more cards.',"
Lightning,"['Lightning'],Positive Ion,'Flip a coin. If heads, this attack does 10 more damage.',20+"
Water,"['Water', 'Colorless'],Clamp Crush,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed and discard an Energy attached to that Pok\u00e9mon.',30"
Water,"['Water', 'Water', 'Colorless'],Spike Cannon,'Flip 5 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Fire,"['Fire', 'Colorless'],Burn Out,'You may do 30 damage plus 30 more damage. If you do, Arcanine is now Burned.',30+"
Fire,"['Fire', 'Colorless', 'Colorless'],Flames of Rage,'Discard a Fire Energy attached to Arcanine. This attack does 60 damage plus 10 more damage for each damage counter on Arcanine.',60+"
Colorless,"['Colorless'],Moonwatching,'Search your deck for a basic Energy card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.',"
Colorless,"['Colorless', 'Colorless'],Comet Slap,'Flip 3 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Psychic,"['Darkness', 'Darkness', 'Darkness', 'Darkness'],Stamp,'Flip a coin. If heads, this attack does 50 damage plus 10 more damage and does 10 damage to each of your opponent's Benched Pok\u00e9mon, if any. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',50+"
Water,"['Water'],Recover,'Discard an Energy attached to this Pok\u00e9mon and heal all damage from it.',"
Water,"['Water', 'Colorless', 'Colorless'],Core Splash,'If this Pok\u00e9mon has any Psychic Energy attached to it, this attack does 30 more damage.',60+"
Lightning,"['Colorless'],Reckless Charge,'This Pok\u00e9mon does 10 damage to itself.',20"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Darkness Sleep,'If the Defending Pok\u00e9mon already has any damage counters on it, that Pok\u00e9mon is now Asleep.',50"
Water,"['Water', 'Colorless'],Lick,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',30"
Lightning,"['Colorless'],Charge,'Search your deck for a Lightning Energy card and attach it to this Pok\u00e9mon. Shuffle your deck afterward.',"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Disaster Volt,'Discard an Energy attached to this Pok\u00e9mon.',80"
Grass,"['Grass'],Leech Seed,'If this attack damages the Defending Pok\u00e9mon (after applying Weakness and Resistance), remove 1 damage counter from Venusaur, is it has any.',20"
Grass,"['Grass', 'Colorless', 'Colorless'],Fury Swipes,'Flip 3 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Grass,"['Grass', 'Colorless'],Foul Gas,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned. If tails, the Defending Pok\u00e9mon is now Confused.',"
Grass,"['Grass', 'Grass', 'Colorless'],Misfire,'Flip a coin. If tails, put 6 damage counters on Weezing.',60"
Grass,"['Grass'],Poison Sting,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',"
Lightning,"['Lightning'],Quick Turn,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Lightning,"['Colorless', 'Colorless'],Bite,'',30"
Lightning,"['Colorless', 'Colorless'],Circle Circuit,'This attack does 20 damage times the number of your Benched Pok\u00e9mon.',20\u00d7"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Thunderbolt,'Discard all Energy attached to this Pok\u00e9mon.',100"
Water,"['Free'],Incite,'Search your discard pile for up to 2 Supporter cards, show them to your opponent, and put them into your hand.',"
Water,"['Water', 'Water'],Giant Wave,'Floatzel can't use Giant Wave during your next turn.',50"
Lightning,"['Colorless'],Energy Glide,'Search your deck for a Lightning Energy card and attach it to this Pok\u00e9mon. Shuffle your deck afterward. If you attached Energy in this way, switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Electron Crush,'You may discard an Energy attached to this Pok\u00e9mon. If you do, this attack does 30 more damage.',60+"
Colorless,"['Colorless', 'Colorless'],Sand Wall,'Discard a Stadium card your opponent has in play. If you do, prevent all effects of an attack, including damage, done to Flygon during your opponent's next turn.',40"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Power Swing,'Does 60 damage plus 10 more damage for each Evolved Pok\u00e9mon on your Bench.',60+"
Grass,"['Colorless'],Mysterious Powder,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Grass,"['Grass', 'Colorless'],Razor Leaf,'',30"
Grass,"['Colorless', 'Colorless'],Scratch,'',20"
Grass,"['Grass', 'Grass'],Spore,'The Defending Pok\u00e9mon is now Asleep.',"
Colorless,"['Colorless', 'Colorless'],Tongue Slap,'',20"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Slam,'Flip 2 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Grass,"['Grass'],Stun Spore,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Grass,"['Grass', 'Colorless'],Leech Life,'Remove a number of damage counters from Venonat equal to the damage done to the Defending Pok\u00e9mon (after applying Weakness and Resistance).',10"
Psychic,"['Colorless', 'Colorless'],Power Edge,'',30"
Psychic,"['Psychic', 'Psychic', 'Colorless', 'Colorless'],Psyslash,'Discard 2 Energy attached to this Pok\u00e9mon.',120"
Psychic,"['Colorless', 'Colorless'],X Ball,'Does 20 damage times the amount of Energy attached to this Pok\u00e9mon and the Defending Pok\u00e9mon.',20\u00d7"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Psydrive,'Discard an Energy attached to this Pok\u00e9mon.',120"
Psychic,"['Psychic', 'Colorless'],Tricky Steps,'You may move an Energy attached to your opponent's Active Pok\u00e9mon to 1 of your opponent's Benched Pok\u00e9mon.',30"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Psybeam,'Your opponent's Active Pok\u00e9mon is now Confused.',60"
Psychic,"['Psychic', 'Colorless'],Continuous Tumble,'Flip a coin until you get tails. This attack does 30 damage times the number of heads.',30\u00d7"
Psychic,"['Psychic'],Random Peck,'Flip 2 coins. This attack does 20 more damage for each heads.',20+"
Psychic,"['Psychic', 'Colorless', 'Colorless', 'Colorless'],Poison Ring,'Your opponent's Active Pok\u00e9mon is now Poisoned. That Pok\u00e9mon can't retreat during your opponent's next turn.',70"
Water,"['Colorless'],Sleep Inducer,'Switch the Defending Pok\u00e9mon with 1 of your opponent's Benched Pok\u00e9mon. The new Defending Pok\u00e9mon is now Asleep.',"
Water,"['Psychic', 'Colorless'],Wake-Up Slap,'If the Defending Pok\u00e9mon is affected by any Special Conditions, this attack does 30 damage plus 20 more damage. Then, remove all Special Conditions from the Defending Pok\u00e9mon.',30+"
Psychic,"['Psychic', 'Colorless'],Peck,'',20"
Water,"['Water', 'Colorless'],Bubble,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Water,"['Water', 'Colorless', 'Colorless'],Tackle,'',50"
Psychic,"['Colorless'],Collect,'Draw a card.',"
Psychic,"['Psychic'],Super Psy Bolt,'',10"
Water,"['Colorless', 'Colorless'],Tackle,'',20"
Water,"['Colorless', 'Colorless', 'Colorless'],Take Down,'Croconaw does 10 damage to itself.',40"
Psychic,"['Colorless'],Energy Gift,'Flip a coin. If heads, search your deck for 2 Psychic Energy cards and attach them to your Pok\u00e9mon in any way you like. Shuffle your deck afterward.',"
Psychic,"['Psychic'],Heart Stamp,'',30"
Lightning,"['Lightning'],Thundershock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Psychic,"['Psychic'],Psywave,'Does 10 damage times the amount of Energy attached to the Defending Pok\u00e9mon.',10\u00d7"
Psychic,"['Colorless', 'Colorless'],Ram,'',20"
Colorless,"['Water', 'Lightning'],Spiral Wave,'Flip a coin until you get tails. This attack does 20 damage times the number of heads.',20\u00d7"
Colorless,"['Colorless'],Focus Energy,'During your next turn, Shelgon's Protect Charge attack's base damage is 80.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Protect Charge,'During your opponent's next turn, any damage done to Shelgon by attacks is reduced by 30 (after applying Weakness and Resistance).',30"
Water,"['Water', 'Colorless'],Rapids,'If the Defending Pok\u00e9mon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it.',20"
Water,"['Colorless', 'Colorless', 'Colorless'],Water Punch,'Flip a number of coins equal to the number of Energy attached to Misty's Poliwhirl. This attack does 30 damage plus 10 damage for each heads.',30+"
Psychic,"['Colorless'],Hypnotic Gaze,'The Defending Pok\u00e9mon is now Asleep.',"
Psychic,"['Colorless', 'Colorless'],Double Slap,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Psychic,"['Colorless', 'Colorless'],Trip Over,'Flip a coin. If heads, this attack does 20 more damage.',10+"
Colorless,"['Colorless'],Razor Wind,'Flip a coin. If tails, this attack does nothing.',"
Grass,"['Grass', 'Colorless'],Spiral Drain,'Heal 10 damage from this Pok\u00e9mon.',20"
Psychic,"['Psychic'],Psychic,'Does 20 more damage for each Energy attached to the Defending Pok\u00e9mon.',10+"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Echoed Voice,'During your next turn, this Pok\u00e9mon's Echoed Voice attack does 50 more damage (before applying Weakness and Resistance).',50"
Grass,"['Grass'],U-turn,'Switch Skiploom with 1 of your Benched Pok\u00e9mon.',20"
Fighting,"['Fighting'],Earthquake,'This attack does 10 damage to each of your Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',60"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Rock Tumble,'This attack's damage isn't affected by Resistance.',60"
Fighting,"['Fighting'],Dig Out,'Discard the top card of your deck. If that card is a Fighting Energy card, attach it to this Pok\u00e9mon.',10"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Horn Drill,'',40"
Fighting,"['Free'],Detour,'If you have a Supporter card in play, use the effect of that card as the effect of this attack.',"
Fighting,"['Metal'],Swift,'This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9-Powers, Pok\u00e9-Bodies, or any other effects on the Defending Pok\u00e9mon.',20"
Fighting,"['Fighting'],Nerve Shot,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',30"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Pandemonium Blade,'Does 20 more damage for each of your Benched Pok\u00e9mon that has any damage counters on it.',60+"
Fighting,"['Colorless', 'Colorless'],Dig Out,'Discard the top card of your deck. If that card is a basic Energy card, attach it to 1 of your Pok\u00e9mon.',40"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Break Ground,'Does 10 damage to each of your Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',120"
Psychic,"['Free'],Psykiss,'Flip a coin. If heads, choose a Special Energy card attached to 1 of your opponent's Pok\u00e9mon and have your opponent shuffle that card into his or her deck.',"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Horn Drill,'',50"
Fighting,"['Fighting', 'Fighting', 'Fighting', 'Colorless'],Mad Mountain,'Flip 2 coins. If both are heads, discard the top card of your opponent's deck for each damage counter on this Pok\u00e9mon.',"
Water,"['Water'],Bubble,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Water,"['Water', 'Colorless'],Withdraw,'Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of attacks still happen.)',"
Fire,"['Fire', 'Fire'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Psychic,"['Psychic'],Psychic Removal,'Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pok\u00e9mon.',10"
Psychic,"['Psychic', 'Colorless'],Grudge,'Does 20 damage plus 10 more damage for each Prize card your opponent has taken.',20+"
Psychic,"['Psychic'],Hidden Power,'',20"
Fighting,"['Fighting', 'Colorless'],Pummel,'Flip a coin. If heads, this attack does 20 more damage.',20+"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Hammer Arm,'Discard the top card of your opponent's deck.',60"
Grass,"['Colorless'],Stalk,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',10"
Grass,"['Grass', 'Colorless'],Dangerous Claw,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If tails, the Defending Pok\u00e9mon is now Poisoned.',20"
Fighting,"['Fighting'],Wake-Up Slap,'If your opponent's Active Pok\u00e9mon is affected by a Special Condition, this attack does 60 more damage. Then, remove all Special Conditions from that Pok\u00e9mon.',30+"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Dynamic Punch,'Flip a coin. If heads, this attack does 40 more damage and your opponent's Active Pok\u00e9mon is now Confused.',60+"
Psychic,"['Colorless'],Filch,'Draw a card.',"
Psychic,"['Darkness', 'Colorless'],Rip Claw,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',30"
Psychic,"['Darkness', 'Colorless'],Conform,'If you have the same number of cards in your hand as your opponent, the Defending Pok\u00e9mon is now Confused.',40"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Seal Off,'The Defending Pok\u00e9mon can't use any Pok\u00e9-Powers or Pok\u00e9-Bodies during your opponent's next turn.',60"
Grass,"['Grass'],Supersonic,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Grass,"['Grass', 'Colorless', 'Colorless'],Double Kick,'Flip 2 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Fighting,"['Fighting'],Abundant Harvest,'Attach a basic Energy card from your discard pile to this Pok\u00e9mon.',"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Gaia Hammer,'Does 10 damage to each Benched Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',80"
Colorless,"['Colorless'],Whirlwind,'If your opponent has any Benched Pok\u00e9mon, he or she chooses 1 of them and switches it with the Defending Pok\u00e9mon. (Do the damage before switching the Pok\u00e9mon.)',10"
Colorless,"['Colorless', 'Colorless'],Razor Wind,'Flip a coin. If tails, this attack does nothing.',"
Psychic,"['Colorless'],Hidden Power,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Water,"['Water', 'Colorless'],Powder Snow,'The Defending Pok\u00e9mon is now Asleep.',30"
Water,"['Water', 'Colorless', 'Colorless'],Reflect Energy,'Move a Water Energy from this Pok\u00e9mon to 1 of your Benched Pok\u00e9mon.',60"
Grass,"['Grass'],Vine Whip,'',10"
Grass,"['Grass'],Call for Family,'Search your deck for a Basic Pok\u00e9mon named Bellsprout and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.)',"
Psychic,"['Darkness'],Confusion Wave,'Both Active Pok\u00e9mon are now Confused.',"
Fighting,"['Colorless'],Magical Dance,'Heal 30 damage from each of your Benched Pok\u00e9mon.',"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Shooting Star Pirouette,'Flip a coin until you get tails. This attack does 30 more damage for each heads.',40+"
Grass,"['Colorless'],Tackle,'',10"
Grass,"['Grass', 'Colorless'],Sleep Seed,'The Defending Pok\u00e9mon is now Asleep.',10"
Lightning,"['Colorless', 'Colorless'],Headbutt,'',20"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Thunder Jolt,'Flip a coin. If tails, Flaaffy does 20 damage to itself.',50"
Water,"['Water', 'Water'],Giant Wave,'Wartortle can't use Giant Wave during your next turn.',40"
Water,"['Colorless', 'Colorless', 'Colorless'],Shell Attack,'',50"
Psychic,"['Darkness', 'Darkness', 'Colorless'],Night Spear,'Does 30 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',90"
Psychic,"['Darkness'],Ascension,'Search your deck for a card that evolves from this Pok\u00e9mon and put it onto this Pok\u00e9mon. (This counts as evolving this Pok\u00e9mon.) Shuffle your deck afterward.',"
Psychic,"['Colorless', 'Colorless'],Scratch,'',20"
Psychic,"['Darkness'],Mental Trash,'Your opponent flips 4 coins. For each tails, he or she discards a card from his or her hand.',"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Distortion Beam,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Asleep. If tails, your opponent's Active Pok\u00e9mon is now Confused.',30"
Fighting,"['Colorless', 'Colorless'],Return Blow,'If Aggron was damaged by an attack during your opponent's last turn, this attack does the same amount of damage done to Aggron to the Defending Pok\u00e9mon.',"
Fighting,"['Metal', 'Colorless', 'Colorless'],Metal Fang,'You may discard the top card of your deck. If you do, remove 2 damage counters and all Special Conditions from Aggron.',40"
Fighting,"['Metal', 'Metal', 'Colorless', 'Colorless'],Heavy Impact,'',70"
Fighting,"['Fighting', 'Colorless'],Rock Hurl,'Don't apply Resistance.',20"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Rock Slide,'Chose 2 of your opponent's Pok\u00e9mon (1 if he or she has only 1). This attack does 10 damage to each of those Pok\u00e9mon. (Don't apply Weakness and Resistance for those Pok\u00e9mon.',30"
Psychic,"['Psychic', 'Colorless'],Nightmare,'The Defending Pok\u00e9mon is now Asleep.',20"
Psychic,"['Psychic', 'Colorless'],Dream Eater,'If the Defending Pok\u00e9mon isn't Asleep, this attack does nothing.',"
Grass,"['Colorless'],Plant Cloak Tackle,'If Burmy Plant Cloak has any Grass Energy attached to it, this attack does 10 damage plus 10 more damage.',10+"
Fighting,"['Colorless', 'Colorless'],Joust,'Before doing damage, discard all Pok\u00e9mon Tool cards attached to your opponent's Active Pok\u00e9mon.',30"
Fighting,"['Metal', 'Metal', 'Colorless'],Tailspin Piledriver,'If your opponent's Active Pok\u00e9mon already has any damage counters on it, this attack does 40 more damage.',80+"
Water,"['Water', 'Water', 'Water'],Dragon Rage,'',50"
Water,"['Water', 'Water', 'Water', 'Water'],Bubblebeam,'Flip a coin. If heads, Defending Pok\u00e9mon is now Paralyzed.',40"
Psychic,"['Colorless', 'Colorless'],Brutal Bash,'Does 20 damage times the number of Darkness Pok\u00e9mon you have in play.',20\u00d7"
Psychic,"['Darkness', 'Darkness'],Dark Rush,'Does 20 damage times the number of damage counters on this Pok\u00e9mon.',20\u00d7"
Water,"['Water', 'Colorless'],Splatter,'This attack does 20 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Water,"['Colorless'],Rally,'Search your deck for up to 3 different types of Basic Pok\u00e9mon and put them onto your Bench. Shuffle your deck afterward.',"
Water,"['Water', 'Colorless'],Hook,'',30"
Water,"['Colorless', 'Colorless'],Speed Dive,'',20"
Water,"['Water', 'Metal', 'Colorless'],Cleave,'Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pok\u00e9mon.',40"
Fire,"['Fire', 'Colorless'],Fire Punch,'',30"
Psychic,"['Psychic', 'Colorless'],Lazy Attack,'Sabrina's Slowpoke is now Asleep (after doing damage).',30"
Water,"['Colorless'],Tackle,'',10"
Water,"['Water', 'Fighting'],Gnaw,'',20"
Fighting,"['Colorless'],Cut Down,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',"
Fighting,"['Metal', 'Colorless'],Metal Claw,'',30"
Colorless,"['Colorless'],Lick,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Colorless,"['Colorless', 'Colorless'],Stomp,'Flip a coin. If heads, this attack does 10 damage plus 30 more damage.',10+"
Water,"['Colorless'],Tackle,'',20"
Water,"['Water', 'Fighting'],Shred,'This attack's damage isn't affected by any effects on the Defending Pok\u00e9mon.',40"
Grass,"['Grass'],Poison Antennae,'The Defending Pok\u00e9mon is now Poisoned.',10"
Grass,"['Psychic', 'Colorless'],Removal Beam,'If the Defending Pok\u00e9mon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it.',20"
Psychic,"['Colorless'],Mumble,'',10"
Psychic,"['Psychic', 'Colorless'],Focused Wish,'Flip a coin. If heads, this attack does 20 more damage.',10+"
Psychic,"['Darkness', 'Colorless'],Harsh Fluid,'Put 5 damage counters on the Defending Pok\u00e9mon at the end of your opponent's next turn.',20"
Psychic,"['Metal', 'Colorless', 'Colorless'],Poison Tentacles,'The Defending Pok\u00e9mon is now Poisoned.',50"
Psychic,"['Darkness', 'Colorless'],Feint Attack,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9-Powers, Pok\u00e9-Bodies, or any other effects on that Pok\u00e9mon.',"
Water,"['Fighting'],Mach Cut,'Discard a Special Energy attached to the Defending Pok\u00e9mon.',60"
Water,"['Water', 'Fighting'],Dragonblade,'Discard the top 2 cards of your deck.',100"
Water,"['Darkness'],Deep Growl,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',"
Water,"['Psychic', 'Colorless'],Power Breath,'Discard an Energy attached to this Pok\u00e9mon.',30"
Psychic,"['Colorless'],Bothering Wave,'Flip a coin. If tails, this attack does nothing. If heads, discard an Energy card attached to the Defending Pok\u00e9mon.',20"
Psychic,"['Psychic'],Future Sight,'Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.',"
Water,"['Water'],Charm,'During your opponent's next turn, any damage done by attacks from the Defending Pok\u00e9mon is reduced by 20 (before applying Weakness and Resistance).',"
Psychic,"['Colorless'],Bite,'',20"
Psychic,"['Psychic', 'Colorless'],Sonic Noise,'If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, that Pok\u00e9mon is now Confused.',30"
Water,"['Colorless', 'Colorless'],Crunch,'Flip a coin. If heads, discard an Energy attached to the Defending Pok\u00e9mon.',30"
Water,"['Psychic', 'Darkness', 'Darkness'],Dragon Claw,'',80"
Water,"['Water'],Granite Head,'During your opponent's next turn, any damage done to Bagon by attacks is reduced by 10 (after applying Weakness and Resistance).',10"
Lightning,"['Lightning', 'Colorless'],Gigavolt,'Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pok\u00e9mon is now Paralyzed.',30+"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Reflect Energy,'Move an Energy card attached to Ampharos to 1 of your Benched Pok\u00e9mon.',70"
Water,"['Fire', 'Colorless', 'Colorless'],Dragon Stream,'Flip a coin. If heads, attach a basic Energy card from your discard pile to this Pok\u00e9mon.',60"
Water,"['Fire', 'Fire', 'Water', 'Colorless'],Ice Burn,'Discard 2 Fire Energy attached to this Pok\u00e9mon. The Defending Pok\u00e9mon is now Burned.',150"
Fighting,"['Metal', 'Metal', 'Colorless', 'Colorless'],Buster Swing,'This attack's damage isn't affected by Resistance.',120"
Grass,"['Grass', 'Colorless', 'Colorless'],Needle Shock,'The Defending Pok\u00e9mon is now Paralyzed and Poisoned. Ignore this effect if any of your Pok\u00e9mon used Needle Shock during your last turn.',30"
Colorless,"['Colorless'],Tail Whap,'',10"
Psychic,"['Darkness'],Flop,'',10"
Fighting,"['Fighting'],Shell Grab,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
