type,name
Grass, Tangela
Water, Wingull
Grass, Shedinja
Fighting, Meditite
Grass, Butterfree
Colorless, Vibrava
Lightning, Magnemite
Colorless, Doduo
Lightning, Chinchou
Grass, Weepinbell
Fighting, Aron
Grass, Wurmple
Grass, Bellsprout
Psychic, Dustox
Lightning, Emolga
Grass, Treecko
Psychic, Nidorino
Water, Empoleon
Psychic, Giratina
Water, M Gyarados-EX
Psychic, Exeggcute
Water, Goldeen
Water, Seismitoad
Water, Clamperl
Colorless, Zigzagoon
Psychic, Chandelure
Psychic, Giratina
Psychic, Gastly
Water, Cloyster
Fighting, Geodude
Grass, Lileep
Fire, Magmar
Fire, Simisear
Grass, Sewaddle
Water, Gyarados G
Fire, Infernape
Grass, Hoppip
Water, Horsea
Colorless, Kangaskhan
Fighting, Machop
Water, Omanyte
Fighting, Phanpy
Water, Qwilfish
Grass, Seedot
Colorless, Sentret
Fire, Charizard-EX
Psychic, Meditite
Grass, Muk
Colorless, Chansey ex
Fire, Arcanine ex
Fire, M Charizard-EX
Fighting, Meditite
Fire, Combusken
Fire, Magby
Colorless, Herdier
Psychic, Mew
Water, Omastar
Colorless, Sentret
Lightning, Electabuzz ex
Grass, Dwebble
Grass, Oddish
Water, Horsea
Colorless, Flygon ex
Water, Poliwrath
Water, Lapras ex
Water, Tympole
Fighting, Timburr
Psychic, Mew ex
Grass, Spinarak
Water, Magikarp
Fighting, Rhyhorn
Fire, Magmar ex
Psychic, Mewtwo ex
Psychic, Vullaby
Colorless, Eevee
Fighting, Armaldo
Grass, Seedot
Fighting, Groudon-EX
Psychic, Darkrai-EX
Fighting, Diglett
Psychic, Shuppet
Psychic, Alakazam
Fire, Charizard
Water, Greninja BREAK
Water, Articuno
Grass, Kricketune
Water, Snorunt
Lightning, Raichu
Psychic, Dusclops
Fire, Rapidash
Fire, Charizard
Grass, Ledyba
Water, Spheal
Water, Starmie
Fire, Cyndaquil
Psychic, Zoroark
Fire, Flareon
Lightning, Jolteon
Colorless, Whismur
Water, Ludicolo
Water, Dark Blastoise
Colorless, Pidove
Fighting, Sandshrew
Colorless, Dark Persian
Colorless, Raticate
Fire, Charmeleon
Psychic, Mewtwo-EX
Fighting, Onix
Colorless, Clefairy
Colorless, M Pidgeot-EX
Lightning, Dark Raichu
Fighting, Hitmonlee
Water, Wartortle
Water, Dark Vaporeon
Water, Flygon
Grass, Tangela
Psychic, Gastly
Water, Jynx
Colorless, Wigglytuff
Psychic, Gengar
Psychic, Mewtwo-EX
Water, Regice ex
Grass, Bulbasaur
Psychic, Lunatone
Fighting, Hitmonlee
Colorless, Pidgeot-EX
Fire, Charmander
Lightning, Jolteon
Fighting, Mawile
Grass, Chikorita
Colorless, M Pidgeot-EX
Colorless, Stoutland
Grass, Shiftry
Grass, Ludicolo
Grass, Seedot
Lightning, Plusle
Fighting, Machamp
Psychic, Alakazam
Lightning, Ampharos
Colorless, Dragonite-EX
Fire, Growlithe
Water, Blastoise
Fighting, Solrock
Fire, Shelgon δ
Water, Froslass
Water, Palkia
Grass, Butterfree
Grass, Muk
Fighting, Cubone
Fire, Charizard
Fighting, Bronzong G
Psychic, Swoobat
Psychic, Venipede
Colorless, Clefable
Colorless, Zangoose
Grass, Butterfree
Water, Cloyster
Fire, Arcanine
Lightning, Zekrom-EX
Water, Golduck
Grass, Petilil
Colorless, Marill
Grass, Cacturne
Fighting, Dugtrio
Colorless, Kecleon
Grass, Tangrowth
Water, Krabby
Fire, Litleo
Fighting, Golem
Lightning, Pichu
Water, Frillish
Grass, Carnivine
Psychic, Hypno
Psychic, Zubat
Psychic, Munna
Lightning, Helioptile
Psychic, Umbreon
Fighting, Toxicroak
Fire, Combusken
Fire, Reshiram-EX
Fighting, Kabutops
Fighting, Anorith
Psychic, Gengar
Grass, Grotle
Water, Hydreigon BREAK
Water, Azumarill
Grass, Foongus
Lightning, Blitzle
Fighting, Machamp
Grass, Amoonguss
Grass, Breloom
Water, Omanyte
Fire, Houndoom G
Lightning, Magneton
Lightning, Elekid
Fire, Magby
Fire, Moltres
Colorless, Fearow
Colorless, Lopunny
Lightning, Eelektrik
Grass, Nidoqueen
Water, Kabuto
Psychic, Murkrow
Colorless, Bunnelby
Grass, Volbeat
Psychic, M Alakazam-EX
Psychic, Koffing
Psychic, Mew
Fighting, Diglett
Psychic, Wynaut
Lightning, Raichu
Psychic, Spiritomb
Grass, Lombre
Psychic, Xatu
Fire, Cyndaquil
Fighting, Dark Steelix
Fire, Charmeleon
Grass, Grovyle
Fighting, Lucario
Colorless, Dunsparce
Grass, Grovyle
Grass, Dark Ariados
Psychic, Gulpin
Psychic, Mightyena
Psychic, Haunter
Fire, Monferno
Water, Beartic
Colorless, Pidgeot
Lightning, Manectric
Water, Pelipper
Grass, Skiploom
Colorless, Togepi
Lightning, Dark Magneton
Water, Octillery
Fire, Ponyta
Fighting, Probopass
Water, Magikarp
Fighting, Larvitar
Lightning, Magnemite
Colorless, Zangoose
Fighting, Wormadam Trash Cloak
Fighting, Bronzor
Fighting, Sandshrew
Grass, Spinarak
Water, Remoraid
Grass, Cacnea
Colorless, Pidgeotto
Lightning, Electrike
Fighting, Kabuto
Grass, Combee
Lightning, Electrike
Water, Dark Wartortle
Water, Omanyte
Colorless, Happiny
Fighting, Graveler
Grass, Meganium
Water, Golduck
Colorless, Granbull
Grass, Celebi-EX
Grass, Lilligant
Water, Golduck
Psychic, Mewtwo
Fighting, Machop
Colorless, Aerodactyl ex
Fire, Growlithe
Fire, Flareon Star
Fighting, Aggron ex
Fire, Ninetales
Grass, Swadloon
Lightning, Lanturn
Fighting, Mienshao
Psychic, Cofagrigus
Psychic, Gardevoir ex
Grass, Lilligant
Grass, Dwebble
Colorless, Fraxure
Grass, Crustle
Psychic, Trubbish
Water, Kabutops ex
Grass, Shelmet
Grass, Accelgor
Colorless, Doduo
Grass, Virizion
Lightning, Raichu ex
Fire, Victini
Fire, Larvesta
Fire, Larvesta
Fire, Vulpix
Colorless, Meowth
Fire, Volcarona
Water, Seismitoad
Water, Tirtouga
Water, Vanillite
Water, Vanillish
Colorless, Pidove
Fire, Typhlosion ex
Water, Jellicent
Fighting, Golett
Fire, Victini
Water, Wailord ex
Lightning, Tynamo
Fire, Charizard
Lightning, Stunfisk
Psychic, Victini
Psychic, Bisharp
Fire, Entei
Grass, Ivysaur
Lightning, Pichu
Psychic, Elgyem
Fighting, Gurdurr
Psychic, Honchkrow G
Psychic, Pawniard
Colorless, Pidgeot
Fighting, Kabuto
Fighting, Flygon
Colorless, Bagon
Psychic, Mew
Grass, Kakuna
Psychic, Hydreigon
Water, Psyduck
Fire, Ponyta
Fighting, Bisharp
Fire, Emboar
Colorless, Salamence
Psychic, Arceus
Water, Remoraid
Fighting, Riolu
Lightning, Chinchou
Fighting, Machoke
Water, Poliwrath
Water, Suicune
Grass, Venusaur
Water, Magikarp
Fighting, Groudon
Fighting, Machop
Fire, Arcanine
Fighting, Dugtrio
Colorless, Regigigas
Fire, Rapidash
Grass, Yanma
Grass, Nidorino
Fighting, Skarmory
Colorless, Furret
Colorless, M Altaria-EX
Fire, Talonflame
Grass, Swadloon
Fighting, Primeape
Colorless, Noctowl
Colorless, Cottonee
Colorless, Skitty
Water, Shellder
Water, Totodile
Fire, Pyroar
Fire, Quagsire
Psychic, Lugia
Lightning, Raichu
Colorless, Dratini
Water, Alomomola
Water, Croconaw
Colorless, Slakoth
Psychic, Drowzee
Colorless, Clefable
Colorless, Togepi
Water, Gyarados
Fire, Typhlosion
Fire, Magmortar
Fighting, Geodude
Fire, Torchic
Colorless, Kangaskhan
Grass, Seedot
Colorless, Lugia
Fighting, Machop
Grass, Mothim
Fighting, Mankey
Colorless, Pidgeot
Psychic, Nidoking
Psychic, Tyranitar
Grass, Nidoran♀
Water, Qwilfish
Water, Remoraid
Psychic, Crobat
Fire, Torkoal
Grass, Weezing
Grass, Nidoran♂
Psychic, Espeon-EX
Psychic, Alakazam Star
Grass, Scyther
Colorless, Loudred
Water, Psyduck
Colorless, Rattata
Lightning, Plusle
Water, Starmie
Psychic, Gengar-EX
Water, Blastoise
Water, Milotic
Colorless, Smeargle
Psychic, Trevenant BREAK
Water, Weavile
Colorless, Snorlax
Grass, Weedle
Grass, Cherubi
Lightning, Electrode
Colorless, Snorlax
Grass, Wormadam Plant Cloak
Water, Regice
Grass, Tangrowth
Colorless, Minccino
Psychic, Chandelure
Grass, Turtwig
Psychic, Duskull
Fire, Vulpix
Water, Starmie
Colorless, Toucannon
Grass, Wurmple
Grass, Carnivine
Grass, Sewaddle
Fire, Charizard
Colorless, Raticate BREAK
Fire, Charmeleon
Lightning, Jolteon
Grass, Scyther
Grass, Leavanny
Psychic, Kadabra
Water, Goomy
Grass, Roserade
Grass, Yanma
Water, Buizel
Fire, Charmeleon
Fire, Charizard
Fighting, Donphan
Fire, Vulpix
Colorless, Igglybuff
Lightning, Raichu
Fighting, Dialga G
Grass, Ivysaur
Fighting, Machoke
Fighting, Makuhita
Water, Luvdisc
Psychic, Drapion
Colorless, Kecleon
Grass, Victreebel
Fire, Victini
Grass, Pinsir
Water, Palkia G
Grass, Breloom
Psychic, Kirlia
Fire, Victini-EX
Water, Seel
Grass, Shaymin
Water, Lombre
Fire, Pignite
Water, Vanilluxe
Water, Wartortle
Colorless, Jigglypuff
Fire, Reshiram-EX
Colorless, Miltank
Psychic, Nidorino
Colorless, Pidgeotto
Grass, Ledian
Psychic, Gastly
Colorless, Clefable
Fire, Vulpix
Grass, M Venusaur-EX
Water, Lotad
Lightning, Ampharos
Colorless, Dragonite
Water, Articuno
Fire, Growlithe
Grass, Chikorita
Lightning, Chinchou
Grass, Ariados
Water, Quagsire
Water, Feraligatr
Grass, Pansage
Psychic, Gengar
Lightning, Magnemite
Grass, Weedle
Psychic, Dusclops
Water, Piplup
Water, Seismitoad
Grass, Scatterbug
Fighting, Golem
Water, Druddigon
Water, Kingler
Water, Kyurem
Grass, Ekans
Fire, Growlithe
Grass, Roselia
Fighting, Machamp
Grass, Nidoran♂
Fighting, Sandshrew
Grass, Meganium
Colorless, Clefairy
Fire, Ninetales
Water, Keldeo-EX
Lightning, Pikachu
Lightning, Pichu
Lightning, Zapdos
Colorless, Pidgeot
Lightning, Zapdos
Psychic, Musharna
Colorless, Togepi
Fire, Typhlosion
Grass, Brock's Zubat
Lightning, Plusle
Water, Cloyster
Fire, Arcanine
Colorless, Erika's Clefairy
Psychic, Tyranitar
Water, Starmie
Lightning, Shinx
Psychic, Darkrai G
Water, Frogadier
Lightning, Thundurus
Grass, Venusaur
Grass, Weezing
Grass, Ekans
Lightning, Luxio
Lightning, Raichu
Water, Floatzel GL
Lightning, Emolga-EX
Colorless, Flygon
Grass, Bayleef
Grass, Paras
Colorless, Brock's Lickitung
Grass, Venonat
Psychic, Mewtwo
Psychic, Mewtwo-EX
Psychic, Grumpig
Psychic, Whirlipede
Psychic, Scolipede
Water, Froslass GL
Psychic, Natu
Water, Wartortle
Psychic, Duskull
Water, Croconaw
Psychic, Swoobat
Lightning, Mareep
Psychic, Spoink
Colorless, Dragonair
Colorless, Shelgon
Water, Misty's Poliwhirl
Psychic, Gothita
Psychic, Gothita
Colorless, Spearow
Grass, Lileep
Psychic, Meloetta
Grass, Skiploom
Fighting, Dugtrio
Fighting, Rhyhorn
Fighting, Jirachi
Fighting, Gallade
Fighting, Excadrill-EX
Psychic, Smoochum
Fighting, Rhydon
Water, Squirtle
Fire, Vulpix
Psychic, Mismagius GL
Psychic, Unown K
Fighting, Gurdurr
Grass, Skorupi
Fighting, Conkeldurr
Psychic, Sableye
Psychic, Shiftry
Grass, Nidorina
Fighting, Landorus
Colorless, Lt. Surge's Spearow
Psychic, Unown X
Water, Glalie
Grass, Bellsprout
Psychic, Inkay
Fighting, Meloetta
Grass, Oddish
Lightning, Flaaffy
Water, Wartortle
Psychic, Darkrai-EX
Psychic, Zorua
Psychic, Malamar
Fighting, Aggron
Fighting, Graveler
Psychic, Haunter
Grass, Burmy Plant Cloak
Fighting, Skarmory-EX
Water, Gyarados
Psychic, Zoroark
Water, Ducklett
Water, Corsola
Water, Altaria
Fire, Jynx δ
Psychic, Sabrina's Slowpoke
Water, Gible
Fighting, Pawniard
Colorless, Lickitung
Water, Gabite
Grass, Sabrina's Venonat
Psychic, Munna
Psychic, Cradily δ
Psychic, Murkrow
Water, Garchomp
Water, Deino
Psychic, Natu
Water, Togepi δ
Psychic, Vibrava δ
Water, Zweilous
Water, Bagon δ
Lightning, Ampharos
Water, White Kyurem-EX
Fighting, Aegislash
Grass, Beedrill
Colorless, Mareep δ
Psychic, Natu δ
Fighting, Shellder δ
Fighting, Archen
Water, Psyduck
Colorless, Swablu
Grass, Ivysaur
Colorless, Minccino
Psychic, Houndoom
Colorless, Cinccino
Psychic, Ralts
Colorless, Druddigon
Fire, Magmar
Grass, Seviper
Colorless, Zangoose
Fire, Combusken
Water, Shellder
Psychic, Drapion 4
Water, Shellos East Sea
Grass, Shuckle
Colorless, Slurpuff
Fire, Flareon
Colorless, Bouffalant
Psychic, Gloom δ
Fighting, Pupitar
Lightning, Pidgeotto δ
Colorless, Doduo
Fire, Reshiram
Colorless, Dodrio
Water, Gastrodon East Sea
Grass, Nidorino
Fire, Quilava
Psychic, Shuppet
Psychic, Abra
Grass, Snivy
Colorless, Bunnelby
Colorless, Fletchling
Grass, Shroomish
Colorless, Furfrou
Water, Piplup
Grass, Heracross 4
Grass, Bulbasaur
Water, Palkia-EX
Psychic, Houndour
Colorless, Doduo
Grass, Sunkern
Fighting, Stunfisk
Water, Blastoise-EX
Water, Poliwag
Psychic, Kirlia
Fighting, Hippowdon
Fighting, Lairon
Psychic, Espeon
Colorless, Teddiursa
Grass, Caterpie
Fighting, Trapinch
Fighting, Skarmory-EX
Colorless, Ursaring
Grass, Chikorita
Fighting, Aron
Colorless, Audino
Fighting, Makuhita
Fire, Numel
Psychic, Gardevoir
Colorless, Skitty
Colorless, Cinccino
Grass, Leafeon
Psychic, Musharna
Grass, Treecko
Fire, Heatran-EX
Grass, Virizion
Fire, Entei-GX
Grass, Servine
Grass, Serperior
Grass, Shaymin-EX
Fire, Reshiram
Grass, Hoppip
Grass, Deerling
Fire, Reshiram
Grass, Koga's Weezing
Psychic, Mew-EX
Colorless, Clefairy
Fire, Tepig
Fire, Pignite
Water, Misty's Dewgong
Water, Seadra
Water, Vaporeon
Fire, Emboar
Fire, Pansear
Fire, Reshiram
Fire, Larvesta
Lightning, Jolteon
Psychic, Giratina
Water, Oshawott
Water, Corsola
Water, Kingdra
Colorless, Blaine's Doduo
Water, Mamoswine
Fire, Ninetales
Fighting, Metagross
Colorless, Teddiursa
Water, Alomomola
Colorless, Doduo
Fighting, Probopass
Water, Seel
Psychic, Duskull
Fighting, Makuhita
Lightning, Magnemite
Lightning, Plusle
Water, Cryogonal
Water, Feraligatr
Colorless, Taillow
Colorless, Regigigas
Fire, Cyndaquil
Fire, Cyndaquil
Colorless, Dratini
Lightning, Jolteon
Psychic, Gastly
Fighting, Geodude
Psychic, Spiritomb
Grass, Koga's Weedle
Water, Krabby
Psychic, Sneasel
Fighting, Armaldo
Psychic, Espeon
Water, Alomomola
Psychic, Azelf
Colorless, Fearow
Fighting, Larvitar
Water, Magikarp
Psychic, Sabrina's Abra
Psychic, Nuzleaf
Colorless, Delcatty
Water, Arceus
Lightning, Arceus
Psychic, Arceus
Psychic, Umbreon
Grass, Nidoran♂
Grass, Butterfree
Fighting, Forretress
Fighting, Primeape
Lightning, Lanturn
Lightning, Joltik
Fighting, Makuhita
Fighting, Arceus
Colorless, Eevee
Colorless, Pidgey
Fire, Flareon
Grass, Gloom
Fighting, Sandshrew
Fighting, Gligar
Fighting, Jirachi
Colorless, Rayquaza
Grass, Pinsir
Psychic, Girafarig
Grass, Spinarak
Psychic, Woobat
Water, Kyogre
Colorless, Lopunny
Psychic, Krokorok
Grass, Sceptile
Grass, Combee
Lightning, Flaaffy
Psychic, Wobbuffet
Water, Regice
Fighting, Registeel
Psychic, Houndour
Fighting, Gligar
Psychic, Whirlipede
Fighting, Makuhita
Water, Sealeo
Psychic, Pawniard
Grass, Pineco
Colorless, Rattata
Psychic, Scolipede
Colorless, Rattata
Psychic, Deino
Fighting, Ferroseed
Grass, Muk
Water, Spheal
Water, Dratini
Lightning, Minun
Psychic, Ekans
Fighting, Gurdurr
Fire, Torkoal
Psychic, Mewtwo
Fighting, Geodude
Fighting, Graveler
Colorless, Sentret
Fighting, Pupitar
Fighting, Sawk
Psychic, Wobbuffet
Fire, Reshiram-EX
Fighting, Nidoking
Fighting, Krookodile
Grass, Caterpie
Fighting, Larvitar
Water, Kingdra
Lightning, Ampharos
Water, Latios-EX
Grass, Metapod
Lightning, Raichu GL
Water, Marill
Fire, Flareon
Colorless, Meowth
Colorless, Eevee
Colorless, Snorlax
Grass, Vespiquen 4
Lightning, Elekid
Fire, Ponyta
Fighting, Hitmonchan
Water, Shellder
Water, Totodile
Psychic, Bronzong 4
Water, Walrein
Psychic, Unown !
Fighting, Barbaracle
Grass, Yanmega 4
Fire, Fletchinder
Fighting, Golem 4
Psychic, Uxie
Psychic, Weavile
Water, Glaceon
Grass, Caterpie
Grass, Venonat
Lightning, Mareep
Grass, Oddish
Colorless, Pidgeotto
Grass, Leafeon
Colorless, Teddiursa
Grass, Gloom
Water, Poliwhirl
Grass, Vileplume
Colorless, Castform
Water, Black Kyurem-EX
Fighting, Machamp GL
Water, Castform Rain Form
Grass, Nincada
Colorless, Aipom
Psychic, Lugia
Grass, Bellossom
Grass, Bellossom
Fighting, Steelix GL
Water, Wingull
Grass, Tangela
Colorless, Togepi
Water, Croconaw
Grass, Shuckle
Water, Mudkip
Fire, Ho-oh
Lightning, Electrike
Psychic, Banette
Grass, Scyther
Grass, Mothim
Psychic, Scraggy
Psychic, Exeggutor
Fighting, Gligar
Grass, Tropius
Psychic, Inkay
Fire, Vulpix
Fire, Houndoom
Grass, Tangrowth
Grass, Scyther
Fighting, Stunfisk
Colorless, Klefki
Water, Goomy
Colorless, Vibrava
Fighting, Whiscash 4
Lightning, Luxio
Colorless, Dunsparce
Grass, Servine
Grass, Whimsicott
Fire, Charmander
Fighting, Marowak
Water, Zekrom
Colorless, Spearow
Colorless, Meowth
Colorless, Altaria
Water, Totodile
Colorless, M Rayquaza-EX
Psychic, Slowpoke
Fire, Camerupt
Psychic, Carvanha
Fire, Pignite
Colorless, Blissey ex
Fire, Darumaka
Fighting, Metang
Colorless, Eevee
Water, M Latios-EX
Fire, Entei Star
Fire, Darmanitan
Fire, Charizard-EX
Fighting, Forretress G
Grass, Butterfree
Colorless, Snubbull
Water, Psyduck
Water, Azumarill
Water, Snover
Grass, Spinarak
Water, Delibird
Grass, Oddish
Water, Dewott
Psychic, Mightyena
Water, Light Azumarill
Fighting, Gliscor 4
Psychic, Unown
Colorless, Ursaring
Water, Samurott
Water, Ducklett
Water, Abomasnow
Fighting, Nosepass
Fire, Growlithe
Fighting, Machop
Water, Swanna
Water, Keldeo
Grass, Sunkern
Fighting, Wooper
Colorless, Porygon
Grass, Serperior
Psychic, Houndoom 4
Fire, Delphox
Water, Dewgong
Psychic, Duosion
Water, Keldeo-EX
Fighting, Machoke
Lightning, Electrode
Fighting, Machamp
Fighting, Machamp
Fighting, Aron
Grass, Kakuna
Colorless, Persian
Water, Omastar
Water, Omastar BREAK
Lightning, Electabuzz
Fighting, Tyrogue
Water, Piloswine
Lightning, Electivire
Lightning, Jolteon Star
Lightning, Blitzle
Psychic, Unown
Colorless, Swellow
Psychic, Wobbuffet
Psychic, Koffing
Fire, Combusken
Psychic, Grumpig
Grass, Grovyle
Psychic, Lugia
Psychic, Croagunk
Water, Glaceon-EX
Colorless, Tauros
Psychic, Croagunk
Water, Staryu
Fighting, Donphan
Colorless, Rayquaza
Water, Barbaracle
Colorless, Pidgey
Fighting, Whiscash
Psychic, Alakazam-EX
Colorless, Munchlax
Colorless, Munchlax
Lightning, Raichu
Psychic, Toxicroak
Psychic, Spoink
Water, Tentacruel
Water, Lotad
Psychic, Cresselia-EX
Grass, Jumpluff
Psychic, Woobat
Colorless, Axew
Fighting, Beldum
Psychic, Musharna
Psychic, Grumpig
Grass, Silcoon
Psychic, Whirlipede
Psychic, Litwick
Grass, Beautifly
Grass, Roserade
Colorless, Buneary
Fighting, Kabuto
Water, Chinchou
Psychic, Scolipede
Water, Corphish
Fire, Ninetales
Psychic, Gothorita
Water, Tympole
Psychic, Natu
Fire, Numel
Grass, Koffing
Lightning, Charmeleon (Delta Species)
Fighting, Kabutops
Psychic, Gloom
Psychic, Meloetta
Psychic, Spoink
Grass, Surskit
Grass, Golbat
Fighting, Hitmonlee
Fighting, Dwebble
Fighting, Gliscor
Water, Fraxure
Psychic, Meowth (Delta Species)
Fighting, Pikachu (Delta Species)
Fighting, Hitmontop
Fire, Slugma
Psychic, Unown
Fighting, Golem
Psychic, Slowbro
Lightning, Manectric
Fire, Slugma
Psychic, Nidoran♀
Psychic, Houndour
Fighting, Mienshao
Fighting, Geodude
Grass, Venomoth
Grass, Lileep
Colorless, Dratini
Fighting, Larvitar
Psychic, Zoroark-GX
Fighting, Landorus-EX
Psychic, Oddish
Psychic, Nidoran♂
Psychic, Starmie
Psychic, Purrloin
Psychic, Garbodor
Grass, Zubat
Psychic, Poochyena
Fighting, Hitmonchan
Psychic, Mandibuzz
Fighting, Aerodactyl
Fighting, Scizor
Psychic, Nidorina
Water, Poliwag
Lightning, Shinx
Water, Vibrava
Psychic, Sneasel
Psychic, Nidorino
Water, White Kyurem
Fighting, Larvitar
Water, Palpitoad
Water, White Kyurem-EX
Colorless, Rattata
Fighting, Wormadam
Fire, Combusken
Water, Staryu
Colorless, Snorlax
Psychic, Unown [T]
Water, Swinub
Psychic, Umbreon
Grass, Venonat
Colorless, Skitty
Fire, Vulpix
Water, Psyduck
Colorless, Spinda
Water, Tentacool
Fighting, Baltoy
Grass, Weepinbell
Water, Poliwag
Colorless, Buneary
Grass, Chespin
Fighting, Riolu
Fighting, Lucario
Grass, Quilladin
Colorless, Pidove
Grass, Chesnaught
Colorless, Lillipup
Psychic, Nuzleaf
Colorless, Porygon-Z
Lightning, Pachirisu
Psychic, Houndoom
Water, Clawitzer
Colorless, Herdier
Water, Quagsire GL
Colorless, Togekiss
Lightning, Electabuzz
Psychic, Azelf
Fighting, Gliscor
Colorless, Altaria
Colorless, Stoutland
Psychic, Mewtwo
Water, Frillish
Colorless, Tranquill
Colorless, Unfezant
Colorless, Lopunny
Colorless, Florges-EX
Grass, Seedot
Water, Gible
Fighting, Hawlucha
Fire, Flareon
Fighting, Forretress
Fighting, Rhyperior
Lightning, Zebstrika
Grass, Grotle
Colorless, Audino
Fighting, Machamp
Colorless, Ambipom
Fighting, Tyrantrum
Psychic, Weezing
Colorless, Minccino
Grass, Cherubi
Water, Shellos West Sea
Colorless, Slaking
Fighting, Zygarde
Fire, Magcargo
Psychic, Uxie
Fire, Chimchar
Grass, Celebi-EX
Water, Froakie
Psychic, Yamask
Fighting, Zygarde
Lightning, Pelipper (Delta Species)
Fighting, Zangoose (Delta Species)
Water, Keldeo-EX
Colorless, Granbull
Water, Articuno
Colorless, Snorlax
Psychic, Cresselia-EX
Fighting, Zygarde-EX
Psychic, Cresselia
Fighting, Dialga
Fighting, Landorus-EX
Fighting, Trapinch
Fighting, Zygarde-EX
Fighting, Kabutops
Colorless, Eevee
Water, White Kyurem-EX
Grass, Leafeon
Water, Squirtle
Colorless, Tornadus
Colorless, Sylveon-EX
Colorless, Linoone
Fire, Quilava
Psychic, Umbreon-EX
Grass, Turtwig
Fighting, Terrakion
Psychic, Trevenant
Water, Golduck BREAK
Water, Dragonite-EX
Water, Manaphy
Psychic, Elgyem
Water, Ludicolo
Psychic, Chandelure
Grass, Meganium
Fire, Moltres
Fighting, Timburr
Water, Sharpedo
Water, Manaphy
Water, Palkia
Fire, Numel
Fire, Charizard-EX
Fighting, Archen
Water, Vanillite
Fire, Emboar-EX
Grass, Gloom
Water, Phione
Fighting, Archeops
Water, Cubchoo
Water, Beartic
Psychic, Unown G
Psychic, Tyranitar
Colorless, Lickitung
Lightning, Zapdos
Lightning, Magneton
Water, Slowking
Colorless, Togekiss-EX
Water, Dragalge
Grass, Tangela
Water, Cloyster
Psychic, Mandibuzz
Lightning, Voltorb
Lightning, Rotom
Psychic, Espeon Star
Psychic, Bronzong
Colorless, Purugly
Grass, Torterra
Fighting, Bronzor
Lightning, Joltik
Grass, Turtwig GL
Water, Gyarados-EX
Water, Piloswine
Fighting, Mienshao
Psychic, Golbat
Water, Frogadier
Psychic, Espeon
Lightning, Shinx
Psychic, Espurr
Colorless, Doduo
Fighting, Terrakion
Lightning, Luxray
Fire, Flareon
Grass, Weedle
Psychic, Deino
Psychic, Drapion
Psychic, Weezing
Psychic, Ralts
Grass, Combee
Psychic, Gastly
Lightning, Luxray BREAK
Psychic, Unown
Grass, Bulbasaur
Water, Glaceon
Grass, Swadloon
Psychic, Weezing
Fire, Combusken
Lightning, Zebstrika
Psychic, Kirlia
Water, Marshtomp
Psychic, Gallade
Psychic, Garbodor
Lightning, Raichu
Fighting, Bronzong BREAK
Psychic, Garbodor
Grass, Leafeon
Psychic, Sigilyph
Fighting, Scizor
Lightning, Dedenne
Psychic, Meowstic
Colorless, Slurpuff
Colorless, Dodrio
Grass, Caterpie
Fighting, Lucario
Fire, Moltres-EX
Fighting, Phanpy
Fighting, Timburr
Fighting, Steelix
Fighting, Genesect-EX
Colorless, Jigglypuff
Colorless, Wigglytuff
Colorless, Ambipom
Psychic, Espurr
Colorless, Diancie-EX
Water, Corsola
Grass, Virizion
Psychic, Purrloin
Fire, Blaziken
Fighting, Diglett
Psychic, Aegislash
Grass, Grotle
Fire, Lampent
Psychic, Xatu
Psychic, Darkrai-EX
Fighting, Ferroseed
Fighting, Ferrothorn
Psychic, Xatu
Fighting, Machoke
Colorless, Buried Fossil
Colorless, Lickilicky
Colorless, Clefairy
Colorless, Stantler
Lightning, Flaaffy
Fighting, Onix
Colorless, Glameow
Water, Kingdra-EX
Psychic, Poochyena
Water, Gyarados-EX
Water, Delibird
Psychic, Darkrai-EX
Colorless, Aerodactyl
Colorless, Lugia BREAK
Colorless, Eevee
Colorless, Farfetch'd
Lightning, Voltorb
Colorless, Kangaskhan
Fighting, Hitmonchan
Fighting, Scizor-EX
Lightning, Manectric
Fighting, Gligar
Colorless, Hoothoot
Psychic, Alakazam 4
Fire, Ho-Oh ex
Grass, Scyther
Fire, Monferno
Grass, Tangrowth
Psychic, Umbreon Star
Fighting, M Scizor-EX
Fighting, Claydol
Grass, Mothim
Grass, Ledian
Water, Gyarados-EX
Water, Carvanha
Water, Marill
Colorless, Snorlax
Water, Prinplup
Grass, Cherrim
Grass, Paras
Colorless, Porygon-Z G
Water, Floatzel GL
Fighting, Croagunk
Fighting, Makuhita
Colorless, Arceus
Fire, Vulpix
Colorless, Whismur
Grass, Snivy
Lightning, Tynamo
Fighting, Klink
Grass, Servine
Lightning, Magnemite
Psychic, Natu
Grass, Pinsir
Grass, Pansage
Colorless, Altaria-EX
Colorless, Flygon
Grass, Simisage
Grass, Gogoat
Lightning, Raichu
Psychic, Gallade 4
Grass, Chespin
Grass, Scyther
Water, Slowbro
Fighting, Hippowdon
Grass, Chespin
Grass, Surskit
Water, Poliwhirl
Colorless, Raticate
Fighting, Lucario
Grass, Quilladin
Grass, Spewpa
Fire, Slugma
Colorless, Audino-EX
Fire, Darumaka
Psychic, Bronzor
Grass, Vivillon
Fighting, Mawile
Grass, Skiddo
Colorless, M Audino-EX
Water, Seel
Psychic, Chingling
Grass, Exeggcute
Psychic, Sableye
Fighting, Gurdurr
Water, Dewott
Water, Sealeo
Fire, Cyndaquil
